Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,266.980011,269.649994,262.279999,263.519989,263.519989,1063800
2021-07-07,266.410004,266.489990,257.589996,259.040009,259.040009,746900
2021-07-08,254.250000,259.343994,250.309998,256.149994,256.149994,932900
2021-07-09,254.860001,262.980011,253.000000,262.829987,262.829987,575500
2021-07-12,263.549988,265.295013,257.829987,261.010010,261.010010,740900
2021-07-13,261.179993,267.760010,261.179993,263.850006,263.850006,899000
2021-07-14,264.209991,265.989990,253.339996,253.410004,253.410004,1119900
2021-07-15,252.839996,256.183990,246.830002,247.970001,247.970001,1506700
2021-07-16,250.000000,250.000000,242.270004,243.240005,243.240005,1443100
2021-07-19,239.000000,246.940002,237.190002,241.809998,241.809998,1232500
2021-07-20,243.000000,248.440002,238.600006,246.500000,246.500000,902100
2021-07-21,247.250000,249.750000,243.729996,247.910004,247.910004,1249900
2021-07-22,247.710007,248.949997,243.820007,244.179993,244.179993,781200
2021-07-23,243.279999,247.904999,240.000000,243.639999,243.639999,1501300
2021-07-26,238.000000,241.589996,235.125000,240.589996,240.589996,1931300
2021-07-27,239.759995,241.660004,232.940002,236.929993,236.929993,1403800
2021-07-28,220.699997,224.169998,213.110001,223.320007,223.320007,7220300
2021-07-29,225.309998,228.759995,223.500000,225.270004,225.270004,2544000
2021-07-30,226.529999,233.220001,225.339996,228.669998,228.669998,2170000
2021-08-02,228.720001,230.880005,222.649994,228.399994,228.399994,2227300
2021-08-03,226.619995,227.630005,214.994995,217.949997,217.949997,3438800
2021-08-04,218.199997,220.270004,216.639999,217.419998,217.419998,1670100
2021-08-05,219.500000,222.000000,216.699997,221.130005,221.130005,1700800
2021-08-06,221.669998,224.500000,219.160004,221.970001,221.970001,1014000
2021-08-09,223.479996,227.429993,220.755005,224.779999,224.779999,1040800
2021-08-10,225.539993,226.270004,215.330002,215.479996,215.479996,2855500
2021-08-11,216.070007,217.529999,210.149994,214.000000,214.000000,3304600
2021-08-12,213.210007,215.470001,210.520004,215.039993,215.039993,1541100
2021-08-13,215.500000,216.057999,211.210007,211.479996,211.479996,860200
2021-08-16,210.300003,210.865005,204.509995,208.830002,208.830002,1452500
2021-08-17,205.479996,208.889999,205.119995,206.160004,206.160004,1330100
2021-08-18,209.220001,209.500000,204.759995,205.419998,205.419998,1515100
2021-08-19,203.440002,207.990005,201.677994,205.080002,205.080002,834000
2021-08-20,209.550003,218.139999,209.550003,216.639999,216.639999,2314300
2021-08-23,217.399994,222.464996,217.399994,221.500000,221.500000,1354400
2021-08-24,223.309998,225.699997,222.490005,224.880005,224.880005,887700
2021-08-25,224.539993,227.289993,224.100006,226.899994,226.899994,841800
